DATE,SPX,VIX,spx_ret,vix_ret,spx_logret,vix_logret,spx_vol_21,vix_vol_21,spx_lag_1,vix_lag_1,spx_lag_2,vix_lag_2,spx_lag_5,vix_lag_5,spx_lag_10,vix_lag_10
2015-11-12,2045.97,18.37,,,,,,,,,,,,,,
2015-11-13,2023.04,20.08,-0.011207397957936904,0.09308655416439837,-0.011270674060276152,0.08900539559649406,,,,,,,,,,
2015-11-16,2053.19,18.16,0.014903313824738973,-0.095617529880478,0.014793350640956328,-0.10050292165038112,,,-0.011270674060276152,0.08900539559649406,,,,,,
2015-11-17,2050.44,18.84,-0.0013393792099123392,0.037444933920704804,-0.0013402769799722193,0.03676089597506972,,,0.014793350640956328,-0.10050292165038112,-0.011270674060276152,0.08900539559649406,,,,
2015-11-18,2083.58,16.85,0.016162384658902518,-0.1056263269639065,0.01603316380542843,-0.11163161234984618,,,-0.0013402769799722193,0.03676089597506972,0.014793350640956328,-0.10050292165038112,,,,
2015-11-19,2081.24,16.99,-0.0011230670288638889,0.008308605341246222,-0.0011236981412047731,0.008274278885469857,,,0.01603316380542843,-0.11163161234984618,-0.0013402769799722193,0.03676089597506972,,,,
2015-11-20,2089.17,15.47,0.0038102285176147,-0.08946439081812818,0.0038029879831690382,-0.09372227109886576,,,-0.0011236981412047731,0.008274278885469857,0.01603316380542843,-0.11163161234984618,-0.011270674060276152,0.08900539559649406,,
2015-11-23,2086.59,15.62,-0.0012349401915593416,0.009696186166774368,-0.0012357033585728208,0.00964947982656512,,,0.0038029879831690382,-0.09372227109886576,-0.0011236981412047731,0.008274278885469857,0.014793350640956328,-0.10050292165038112,,
2015-11-24,2089.14,15.93,0.0012220896294909966,0.01984635083226638,0.0012213434858008502,0.019651979510417302,,,-0.0012357033585728208,0.00964947982656512,0.0038029879831690382,-0.09372227109886576,-0.0013402769799722193,0.03676089597506972,,
2015-11-25,2088.87,15.19,-0.0001292397828771552,-0.0464532328939109,-0.00012924813505752467,-0.04756680731427571,,,0.0012213434858008502,0.019651979510417302,-0.0012357033585728208,0.00964947982656512,0.01603316380542843,-0.11163161234984618,,
2015-11-27,2090.11,15.12,0.0005936223891387371,-0.004608294930875556,0.0005934462650656421,-0.0046189458562945285,,,-0.00012924813505752467,-0.04756680731427571,0.0012213434858008502,0.019651979510417302,-0.0011236981412047731,0.008274278885469857,,
2015-11-30,2080.41,16.13,-0.004640904067250151,0.06679894179894186,-0.004651706497517027,0.06466252138573061,,,0.0005934462650656421,-0.0046189458562945285,-0.00012924813505752467,-0.04756680731427571,0.0038029879831690382,-0.09372227109886576,-0.011270674060276152,0.08900539559649406
2015-12-01,2102.63,14.67,0.010680586999677999,-0.09051456912585243,0.010623952433730842,-0.09487629998222712,,,-0.004651706497517027,0.06466252138573061,0.0005934462650656421,-0.0046189458562945285,-0.0012357033585728208,0.00964947982656512,0.014793350640956328,-0.10050292165038112
2015-12-02,2079.51,15.91,-0.010995752937987158,0.0845262440354464,-0.011056653069340215,0.08114325019480506,,,0.010623952433730842,-0.09487629998222712,-0.004651706497517027,0.06466252138573061,0.0012213434858008502,0.019651979510417302,-0.0013402769799722193,0.03676089597506972
2015-12-03,2049.62,18.11,-0.014373578391063457,0.13827781269641726,-0.014477878923262813,0.12951642954562642,,,-0.011056653069340215,0.08114325019480506,0.010623952433730842,-0.09487629998222712,-0.00012924813505752467,-0.04756680731427571,0.01603316380542843,-0.11163161234984618
2015-12-04,2091.69,14.81,0.020525755993794137,-0.18221976808393148,0.0203179415517183,-0.20116164361561453,,,-0.014477878923262813,0.12951642954562642,-0.011056653069340215,0.08114325019480506,0.0005934462650656421,-0.0046189458562945285,-0.0011236981412047731,0.008274278885469857
2015-12-07,2077.07,15.84,-0.00698956346303703,0.06954760297096563,-0.007014104884478266,0.06723575810657244,,,0.0203179415517183,-0.20116164361561453,-0.014477878923262813,0.12951642954562642,-0.004651706497517027,0.06466252138573061,0.0038029879831690382,-0.09372227109886576
2015-12-08,2063.59,17.6,-0.006489911269239812,0.11111111111111116,-0.006511062305276753,0.10536051565782635,,,-0.007014104884478266,0.06723575810657244,0.0203179415517183,-0.20116164361561453,0.010623952433730842,-0.09487629998222712,-0.0012357033585728208,0.00964947982656512
2015-12-09,2047.62,19.61,-0.007738940390290883,0.11420454545454528,-0.007769041389937937,0.10814073816414865,,,-0.006511062305276753,0.10536051565782635,-0.007014104884478266,0.06723575810657244,-0.011056653069340215,0.08114325019480506,0.0012213434858008502,0.019651979510417302
2015-12-10,2052.23,19.34,0.00225139430167709,-0.013768485466598701,0.002248863711052729,-0.013864150183106671,,,-0.007769041389937937,0.10814073816414865,-0.006511062305276753,0.10536051565782635,-0.014477878923262813,0.12951642954562642,-0.00012924813505752467,-0.04756680731427571
2015-12-11,2012.37,24.39,-0.01942277425044958,0.2611168562564634,-0.019613874846502764,0.23199772220268075,,,0.002248863711052729,-0.013864150183106671,-0.007769041389937937,0.10814073816414865,0.0203179415517183,-0.20116164361561453,0.0005934462650656421,-0.0046189458562945285
2015-12-14,2021.94,22.73,0.00475558669628362,-0.06806068060680603,0.004744314616645313,-0.07048757436337705,0.1611321094487051,1.6055974112416675,-0.019613874846502764,0.23199772220268075,0.002248863711052729,-0.013864150183106671,-0.007014104884478266,0.06723575810657244,-0.004651706497517027,0.06466252138573061
